effect,mode,conditional_se,conditional_variance,note
log_B[0],6.97249,0.0645375,0.00416509,selected_inverse_diagonal
log_B[1],6.95614,0.060444,0.00365347,selected_inverse_diagonal
log_B[2],6.9432,0.0601001,0.00361202,selected_inverse_diagonal
log_B[3],6.93412,0.0601068,0.00361283,selected_inverse_diagonal
log_B[4],6.92353,0.0600179,0.00360214,selected_inverse_diagonal
log_B[5],6.91234,0.0599364,0.00359237,selected_inverse_diagonal
log_B[6],6.90677,0.0599247,0.00359096,selected_inverse_diagonal
log_B[7],6.91122,0.0599727,0.00359673,selected_inverse_diagonal
log_B[8],6.91872,0.060006,0.00360072,selected_inverse_diagonal
log_B[9],6.92877,0.0600546,0.00360655,selected_inverse_diagonal
log_B[10],6.93854,0.0600836,0.00361003,selected_inverse_diagonal
log_B[11],6.94796,0.0601154,0.00361386,selected_inverse_diagonal
log_B[12],6.95818,0.0601477,0.00361775,selected_inverse_diagonal
log_B[13],6.96956,0.0601914,0.003623,selected_inverse_diagonal
log_B[14],6.9786,0.0602221,0.00362671,selected_inverse_diagonal
log_B[15],6.98584,0.0602414,0.00362903,selected_inverse_diagonal
log_B[16],6.99175,0.06026,0.00363127,selected_inverse_diagonal
log_B[17],6.99671,0.0602949,0.00363547,selected_inverse_diagonal
log_B[18],7.00117,0.0606208,0.00367488,selected_inverse_diagonal
log_B[19],7.00257,0.0649876,0.00422339,selected_inverse_diagonal
