year,catch_mt,index,age1,age2,age3,age4,age5,age6,age7,age8,age9,age10
1,220,0.82,0.18,0.21,0.19,0.15,0.10,0.07,0.04,0.03,0.02,0.01
2,230,0.86,0.17,0.22,0.19,0.15,0.10,0.07,0.04,0.03,0.02,0.01
3,245,0.89,0.16,0.22,0.20,0.15,0.10,0.07,0.04,0.03,0.02,0.01
4,260,0.91,0.15,0.21,0.21,0.16,0.10,0.07,0.04,0.03,0.02,0.01
5,275,0.93,0.15,0.20,0.21,0.16,0.11,0.07,0.04,0.03,0.02,0.01
6,290,0.95,0.14,0.20,0.21,0.17,0.11,0.07,0.04,0.03,0.02,0.01
7,305,0.96,0.14,0.19,0.21,0.17,0.11,0.08,0.04,0.03,0.02,0.01
8,315,0.94,0.13,0.19,0.21,0.17,0.12,0.08,0.04,0.03,0.02,0.01
9,320,0.91,0.13,0.18,0.21,0.18,0.12,0.08,0.04,0.03,0.02,0.01
10,330,0.88,0.12,0.18,0.21,0.18,0.12,0.08,0.05,0.03,0.02,0.01
11,335,0.84,0.12,0.17,0.21,0.18,0.13,0.08,0.05,0.03,0.02,0.01
12,340,0.81,0.11,0.17,0.20,0.19,0.13,0.09,0.05,0.03,0.02,0.01
13,330,0.80,0.12,0.17,0.20,0.18,0.13,0.09,0.05,0.03,0.02,0.01
14,320,0.82,0.13,0.18,0.20,0.18,0.12,0.09,0.05,0.03,0.02,0.01
15,310,0.85,0.14,0.18,0.20,0.17,0.12,0.08,0.05,0.03,0.02,0.01
16,300,0.89,0.15,0.19,0.20,0.17,0.11,0.08,0.05,0.03,0.02,0.01
17,295,0.93,0.16,0.19,0.20,0.16,0.11,0.08,0.05,0.03,0.02,0.01
18,285,0.97,0.17,0.20,0.19,0.16,0.10,0.08,0.05,0.03,0.02,0.01
19,275,1.01,0.18,0.20,0.19,0.15,0.10,0.08,0.05,0.03,0.01,0.01
20,265,1.04,0.19,0.21,0.18,0.15,0.10,0.07,0.05,0.03,0.01,0.01
