lag,count,mean_correlation,min_correlation,max_correlation
0,20,1,1,1
1,19,0.290637,0.283993,0.310929
2,18,0.0840173,0.08077,0.0888597
3,17,0.0243098,0.0230311,0.0252395
4,16,0.00704156,0.00658201,0.00736946
5,15,0.00204212,0.0018837,0.00214638
6,14,0.00059274,0.000541286,0.000623858
7,13,0.000172082,0.000156182,0.000181235
8,12,4.99459e-05,4.52379e-05,5.30964e-05
9,11,1.44902e-05,1.31487e-05,1.55032e-05
10,10,4.20141e-06,3.83918e-06,4.50609e-06
11,9,1.21749e-06,1.12476e-06,1.30518e-06
12,8,3.52508e-07,3.30416e-07,3.76596e-07
13,7,1.01956e-07,9.68988e-08,1.08216e-07
14,6,2.9449e-08,2.82221e-08,3.09702e-08
15,5,8.49659e-09,8.17544e-09,8.83098e-09
16,4,2.45289e-09,2.3691e-09,2.54198e-09
17,3,7.10872e-10,6.82716e-10,7.36622e-10
18,2,2.08061e-10,2.03846e-10,2.12276e-10
19,1,6.33817e-11,6.33817e-11,6.33817e-11
