metric,value,note
n_years,20,number of fitted biomass states in covariance block
finite_all,yes,all covariance entries finite
positive_diagonal,yes,all variances positive
valid_covariance,yes,finite positive-diagonal symmetric positive-semidefinite check
ldlt_success,yes,dense LDLT check on biomass covariance matrix
max_abs_asymmetry,1.77636e-15,max absolute covariance asymmetry
min_variance,1355.58,minimum biomass variance
max_variance,2023.22,maximum biomass variance
min_eigenvalue,769.072,self-adjoint eigenvalue diagnostic
max_eigenvalue,2860.52,self-adjoint eigenvalue diagnostic
mean_nearest_neighbor_corr,0.290637,average Corr(B_t,B_tplus1)
min_nearest_neighbor_corr,0.283993,minimum Corr(B_t,B_tplus1)
max_nearest_neighbor_corr,0.310929,maximum Corr(B_t,B_tplus1)
mean_lag2_corr,0.0840173,average Corr(B_t,B_tplus2)
mean_lag5_corr,0.00204212,average Corr(B_t,B_tplus5)
