year,B_year_1,B_year_2,B_year_3,B_year_4,B_year_5,B_year_6,B_year_7,B_year_8,B_year_9,B_year_10,B_year_11,B_year_12,B_year_13,B_year_14,B_year_15,B_year_16,B_year_17,B_year_18,B_year_19,B_year_20
1,1891.74,512.718,143.977,41.2355,11.7949,3.39031,0.98795,0.291673,0.086171,0.0254456,0.0074763,0.00218829,0.000638582,0.00018581,5.37119e-05,1.54381e-05,4.41916e-06,1.26219e-06,3.64958e-07,1.23998e-07
2,512.718,1558.72,437.707,125.361,35.858,10.307,3.00349,0.886721,0.26197,0.0773576,0.0227288,0.00665266,0.00194137,0.000564886,0.00016329,4.69337e-05,1.34348e-05,3.83721e-06,1.10951e-06,3.7697e-07
3,143.977,437.707,1480.08,423.901,121.252,34.8524,10.1561,2.9984,0.885839,0.261581,0.0768564,0.0224956,0.00656463,0.00191013,0.000552158,0.000158704,4.5429e-05,1.29753e-05,3.75176e-06,1.2747e-06
4,41.2355,125.361,423.901,1445.76,413.543,118.868,34.6386,10.2264,3.02125,0.89215,0.262127,0.0767238,0.0223894,0.00651472,0.0018832,0.000541277,0.000154941,4.42538e-05,1.27958e-05,4.34752e-06
5,11.7949,35.858,121.252,413.543,1409.62,405.177,118.07,34.8579,10.2983,3.04101,0.893495,0.261523,0.0763171,0.0222063,0.00641912,0.00184501,0.000528135,0.000150845,4.36162e-05,1.48191e-05
6,3.39031,10.307,34.8524,118.868,405.177,1372.93,400.077,118.115,34.8956,10.3044,3.02758,0.886162,0.258598,0.0752452,0.021751,0.00625177,0.00178957,0.000511133,0.000147792,5.0214e-05
7,0.98795,3.00349,10.1561,34.6386,118.07,400.077,1355.58,400.208,118.236,34.9141,10.2583,3.00257,0.876205,0.254952,0.0736985,0.0211828,0.00606357,0.00173186,0.000500762,0.000170139
8,0.291673,0.886721,2.9984,10.2264,34.8579,118.115,400.208,1369.14,404.495,119.444,35.0944,10.272,2.99756,0.872211,0.252128,0.072468,0.020744,0.00592484,0.00171314,0.00058206
9,0.086171,0.26197,0.885839,3.02125,10.2983,34.8956,118.236,404.495,1392.3,411.133,120.797,35.3569,10.3178,3.0022,0.867841,0.249439,0.071402,0.0203937,0.00589675,0.00200349
10,0.0254456,0.0773576,0.261581,0.89215,3.04101,10.3044,34.9141,119.444,411.133,1424.04,418.405,122.466,35.7377,10.3987,3.00594,0.863981,0.247315,0.0706374,0.0204245,0.00693946
11,0.0074763,0.0227288,0.0768564,0.262127,0.893495,3.02758,10.2583,35.0944,120.797,418.405,1455.16,425.921,124.292,36.1655,10.4543,3.00482,0.860131,0.245669,0.0710341,0.0241346
12,0.00218829,0.00665266,0.0224956,0.0767238,0.261523,0.886162,3.00257,10.272,35.3569,122.466,425.921,1485.95,433.628,126.174,36.4729,10.4832,3.00082,0.857087,0.247823,0.0842008
13,0.000638582,0.00194137,0.00656463,0.0223894,0.0763171,0.258598,0.876205,2.99756,10.3178,35.7377,124.292,433.628,1519.92,442.255,127.842,36.7449,10.5182,3.00419,0.86865,0.295134
14,0.00018581,0.000564886,0.00191013,0.00651472,0.0222063,0.0752452,0.254952,0.872211,3.0022,10.3987,36.1655,126.174,442.255,1558.46,450.5,129.485,37.065,10.5864,3.06102,1.04002
15,5.37119e-05,0.00016329,0.000552158,0.0018832,0.00641912,0.021751,0.0736985,0.252128,0.867841,3.00594,10.4543,36.4729,127.842,450.5,1589.97,456.998,130.816,37.3633,10.8034,3.67059
16,1.54381e-05,4.69337e-05,0.000158704,0.000541277,0.00184501,0.00625177,0.0211828,0.072468,0.249439,0.863981,3.00482,10.4832,36.7449,129.485,456.998,1615.51,462.439,132.081,38.1906,12.9757
17,4.41916e-06,1.34348e-05,4.5429e-05,0.000154941,0.000528135,0.00178957,0.00606357,0.020744,0.071402,0.247315,0.860131,3.00082,10.5182,37.065,130.816,462.439,1636.5,467.413,135.151,45.919
18,1.26219e-06,3.83721e-06,1.29753e-05,4.42538e-05,0.000150845,0.000511133,0.00173186,0.00592484,0.0203937,0.0706374,0.245669,0.857087,3.00419,10.5864,37.3633,132.081,467.413,1655.28,478.617,162.615
19,3.64958e-07,1.10951e-06,3.75176e-06,1.27958e-05,4.36162e-05,0.000147792,0.000500762,0.00171314,0.00589675,0.0204245,0.0710341,0.247823,0.86865,3.06102,10.8034,38.1906,135.151,478.617,1694.4,575.693
20,1.23998e-07,3.7697e-07,1.2747e-06,4.34752e-06,1.48191e-05,5.0214e-05,0.000170139,0.00058206,0.00200349,0.00693946,0.0241346,0.0842008,0.295134,1.04002,3.67059,12.9757,45.919,162.615,575.693,2023.22
