year,variance_logB0,variance_logBt,covariance_logBt_logB0,correlation_logBt_logB0,note
1,0.00394547,0.00394547,0.00394547,1,selected_inverse_covariance_diagnostic_logBt_logB0
2,0.00394547,0.00351563,0.00111202,0.298582,selected_inverse_covariance_diagnostic_logBt_logB0
3,0.00394547,0.00347167,0.000318448,0.0860437,selected_inverse_covariance_diagnostic_logBt_logB0
4,0.00394547,0.00347249,9.22915e-05,0.024934,selected_inverse_covariance_diagnostic_logBt_logB0
5,0.00394547,0.00345473,2.66668e-05,0.00722295,selected_inverse_covariance_diagnostic_logBt_logB0
6,0.00394547,0.00344114,7.75149e-06,0.0021037,selected_inverse_covariance_diagnostic_logBt_logB0
7,0.00394547,0.00344277,2.27377e-06,0.000616939,selected_inverse_covariance_diagnostic_logBt_logB0
8,0.00394547,0.00345238,6.68883e-07,0.000181235,selected_inverse_covariance_diagnostic_logBt_logB0
9,0.00394547,0.00346002,1.96179e-07,5.30964e-05,selected_inverse_covariance_diagnostic_logBt_logB0
10,0.00394547,0.00346929,5.73575e-08,1.55032e-05,selected_inverse_covariance_diagnostic_logBt_logB0
11,0.00394547,0.00347512,1.66853e-08,4.50609e-06,selected_inverse_covariance_diagnostic_logBt_logB0
12,0.00394547,0.00348211,4.83774e-09,1.30518e-06,selected_inverse_covariance_diagnostic_logBt_logB0
13,0.00394547,0.00348904,1.39726e-09,3.76596e-07,selected_inverse_covariance_diagnostic_logBt_logB0
14,0.00394547,0.00349631,4.01926e-10,1.08216e-07,selected_inverse_covariance_diagnostic_logBt_logB0
15,0.00394547,0.00350203,1.15121e-10,3.09702e-08,selected_inverse_covariance_diagnostic_logBt_logB0
16,0.00394547,0.0035057,3.28432e-11,8.83098e-09,selected_inverse_covariance_diagnostic_logBt_logB0
17,0.00394547,0.00350952,9.34597e-12,2.5116e-09,selected_inverse_covariance_diagnostic_logBt_logB0
18,0.00394547,0.00351773,2.65729e-12,7.13278e-10,selected_inverse_covariance_diagnostic_logBt_logB0
19,0.00394547,0.00358205,7.66335e-13,2.03846e-10,selected_inverse_covariance_diagnostic_logBt_logB0
20,0.00394547,0.00432009,2.61674e-13,6.33817e-11,selected_inverse_covariance_diagnostic_logBt_logB0
