year,quantity,estimate,se,lwr_95,upr_95,note
1,biomass,692.439,43.4942,607.19,777.687,level1_delta_method_conditional_random_effect_diagonal
1,index_hat,1.03547,0.0650409,0.907988,1.16295,level1_delta_method_conditional_random_effect_diagonal
1,depletion,1,0,1,1,level1_delta_method_selected_inverse_cov_logBt_logB0
1,F_proxy,0.132864,0.00834557,0.116506,0.149221,level1_delta_method_conditional_random_effect_diagonal
2,biomass,665.86,39.4807,588.478,743.242,level1_delta_method_conditional_random_effect_diagonal
2,index_hat,0.995723,0.0590391,0.880006,1.11144,level1_delta_method_conditional_random_effect_diagonal
2,depletion,0.961616,0.0695897,0.82522,1.09801,level1_delta_method_selected_inverse_cov_logBt_logB0
2,F_proxy,0.141922,0.00841493,0.125428,0.158415,level1_delta_method_conditional_random_effect_diagonal
3,biomass,652.941,38.4719,577.536,728.346,level1_delta_method_conditional_random_effect_diagonal
3,index_hat,0.976403,0.0575305,0.863643,1.08916,level1_delta_method_conditional_random_effect_diagonal
3,depletion,0.942958,0.0776453,0.790773,1.09514,level1_delta_method_selected_inverse_cov_logBt_logB0
3,F_proxy,0.148559,0.00875321,0.131402,0.165715,level1_delta_method_conditional_random_effect_diagonal
4,biomass,645.25,38.0232,570.725,719.776,level1_delta_method_conditional_random_effect_diagonal
4,index_hat,0.964903,0.0568596,0.853458,1.07635,level1_delta_method_conditional_random_effect_diagonal
4,depletion,0.931852,0.0792533,0.776515,1.08719,level1_delta_method_selected_inverse_cov_logBt_logB0
4,F_proxy,0.14723,0.00867592,0.130225,0.164235,level1_delta_method_conditional_random_effect_diagonal
5,biomass,638.769,37.5449,565.181,712.357,level1_delta_method_conditional_random_effect_diagonal
5,index_hat,0.95521,0.0561443,0.845167,1.06525,level1_delta_method_conditional_random_effect_diagonal
5,depletion,0.922491,0.0790703,0.767513,1.07747,level1_delta_method_selected_inverse_cov_logBt_logB0
5,F_proxy,0.154986,0.00910958,0.137131,0.17284,level1_delta_method_conditional_random_effect_diagonal
6,biomass,631.645,37.0531,559.021,704.269,level1_delta_method_conditional_random_effect_diagonal
6,index_hat,0.944558,0.0554089,0.835957,1.05316,level1_delta_method_conditional_random_effect_diagonal
6,depletion,0.912204,0.0783174,0.758702,1.06571,level1_delta_method_selected_inverse_cov_logBt_logB0
6,F_proxy,0.161483,0.00947279,0.142916,0.18005,level1_delta_method_conditional_random_effect_diagonal
7,biomass,627.491,36.8181,555.328,699.655,level1_delta_method_conditional_random_effect_diagonal
7,index_hat,0.938346,0.0550576,0.830433,1.04626,level1_delta_method_conditional_random_effect_diagonal
7,depletion,0.906205,0.0778687,0.753582,1.05883,level1_delta_method_selected_inverse_cov_logBt_logB0
7,F_proxy,0.160162,0.0093975,0.141742,0.178581,level1_delta_method_conditional_random_effect_diagonal
8,biomass,629.745,37.0019,557.221,702.269,level1_delta_method_conditional_random_effect_diagonal
8,index_hat,0.941717,0.0553324,0.833265,1.05017,level1_delta_method_conditional_random_effect_diagonal
8,depletion,0.90946,0.0782162,0.756156,1.06276,level1_delta_method_selected_inverse_cov_logBt_logB0
8,F_proxy,0.155619,0.00914367,0.137697,0.17354,level1_delta_method_conditional_random_effect_diagonal
9,biomass,634.347,37.3135,561.212,707.481,level1_delta_method_conditional_random_effect_diagonal
9,index_hat,0.948598,0.0557983,0.839233,1.05796,level1_delta_method_conditional_random_effect_diagonal
9,depletion,0.916105,0.0788335,0.761591,1.07062,level1_delta_method_selected_inverse_cov_logBt_logB0
9,F_proxy,0.151337,0.00890192,0.133889,0.168785,level1_delta_method_conditional_random_effect_diagonal
10,biomass,640.679,37.7364,566.716,714.643,level1_delta_method_conditional_random_effect_diagonal
10,index_hat,0.958067,0.0564308,0.847463,1.06867,level1_delta_method_conditional_random_effect_diagonal
10,depletion,0.92525,0.0796718,0.769093,1.08141,level1_delta_method_selected_inverse_cov_logBt_logB0
10,F_proxy,0.146719,0.00864187,0.129781,0.163657,level1_delta_method_conditional_random_effect_diagonal
11,biomass,647.099,38.1466,572.332,721.866,level1_delta_method_conditional_random_effect_diagonal
11,index_hat,0.967667,0.0570441,0.855861,1.07947,level1_delta_method_conditional_random_effect_diagonal
11,depletion,0.934521,0.0805022,0.776737,1.09231,level1_delta_method_selected_inverse_cov_logBt_logB0
11,F_proxy,0.143718,0.00847222,0.127113,0.160324,level1_delta_method_conditional_random_effect_diagonal
12,biomass,653.252,38.548,577.698,728.806,level1_delta_method_conditional_random_effect_diagonal
12,index_hat,0.976869,0.0576445,0.863886,1.08985,level1_delta_method_conditional_random_effect_diagonal
12,depletion,0.943408,0.0813061,0.784048,1.10277,level1_delta_method_selected_inverse_cov_logBt_logB0
12,F_proxy,0.140068,0.00826535,0.123868,0.156268,level1_delta_method_conditional_random_effect_diagonal
13,biomass,660.019,38.9861,583.607,736.432,level1_delta_method_conditional_random_effect_diagonal
13,index_hat,0.986989,0.0582995,0.872721,1.10126,level1_delta_method_conditional_random_effect_diagonal
13,depletion,0.953181,0.0821867,0.792095,1.11427,level1_delta_method_selected_inverse_cov_logBt_logB0
13,F_proxy,0.13636,0.00805451,0.120573,0.152146,level1_delta_method_conditional_random_effect_diagonal
14,biomass,667.64,39.4773,590.265,745.016,level1_delta_method_conditional_random_effect_diagonal
14,index_hat,0.998385,0.0590341,0.882678,1.11409,level1_delta_method_conditional_random_effect_diagonal
14,depletion,0.964187,0.0831763,0.801161,1.12721,level1_delta_method_selected_inverse_cov_logBt_logB0
14,F_proxy,0.133305,0.00788229,0.117856,0.148755,level1_delta_method_conditional_random_effect_diagonal
15,biomass,673.807,39.8745,595.653,751.961,level1_delta_method_conditional_random_effect_diagonal
15,index_hat,1.00761,0.059628,0.890735,1.12448,level1_delta_method_conditional_random_effect_diagonal
15,depletion,0.973092,0.0839768,0.808497,1.13769,level1_delta_method_selected_inverse_cov_logBt_logB0
15,F_proxy,0.130601,0.00772871,0.115453,0.14575,level1_delta_method_conditional_random_effect_diagonal
16,biomass,678.84,40.1934,600.061,757.619,level1_delta_method_conditional_random_effect_diagonal
16,index_hat,1.01513,0.0601049,0.897327,1.13294,level1_delta_method_conditional_random_effect_diagonal
16,depletion,0.980361,0.0846249,0.814496,1.14623,level1_delta_method_selected_inverse_cov_logBt_logB0
16,F_proxy,0.128896,0.00763182,0.113938,0.143855,level1_delta_method_conditional_random_effect_diagonal
17,biomass,682.864,40.4537,603.574,762.153,level1_delta_method_conditional_random_effect_diagonal
17,index_hat,1.02115,0.0604941,0.902581,1.13972,level1_delta_method_conditional_random_effect_diagonal
17,depletion,0.986172,0.0851483,0.819281,1.15306,level1_delta_method_selected_inverse_cov_logBt_logB0
17,F_proxy,0.127405,0.00754761,0.112611,0.142198,level1_delta_method_conditional_random_effect_diagonal
18,biomass,685.968,40.6851,606.225,765.711,level1_delta_method_conditional_random_effect_diagonal
18,index_hat,1.02579,0.0608402,0.906545,1.14504,level1_delta_method_conditional_random_effect_diagonal
18,depletion,0.990655,0.0855825,0.822913,1.1584,level1_delta_method_selected_inverse_cov_logBt_logB0
18,F_proxy,0.126099,0.007479,0.11144,0.140758,level1_delta_method_conditional_random_effect_diagonal
19,biomass,687.769,41.1631,607.089,768.448,level1_delta_method_conditional_random_effect_diagonal
19,index_hat,1.02848,0.0615551,0.907837,1.14913,level1_delta_method_conditional_random_effect_diagonal
19,depletion,0.993256,0.0861762,0.82435,1.16216,level1_delta_method_selected_inverse_cov_logBt_logB0
19,F_proxy,0.125042,0.0074838,0.110374,0.13971,level1_delta_method_conditional_random_effect_diagonal
20,biomass,684.345,44.9802,596.184,772.506,level1_delta_method_conditional_random_effect_diagonal
20,index_hat,1.02336,0.0672631,0.891529,1.1552,level1_delta_method_conditional_random_effect_diagonal
20,depletion,0.988311,0.0898524,0.8122,1.16442,level1_delta_method_selected_inverse_cov_logBt_logB0
20,F_proxy,0.124937,0.00821179,0.108842,0.141032,level1_delta_method_conditional_random_effect_diagonal
