scenario,year,quantity,estimate,mean,median,lwr_95,upr_95,se,n_samples,note
high_catch,21,biomass,642.535,644.22,642.912,559.243,734.535,44.0339,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,21,index,0.960842,0.963363,0.961406,0.836288,1.09842,0.065848,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,22,biomass,606.365,608.05,606.742,523.072,698.365,44.0339,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,22,index,0.906753,0.909274,0.907318,0.782199,1.04433,0.065848,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,23,biomass,574.064,575.749,574.441,490.771,666.064,44.0339,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,23,index,0.858451,0.860971,0.859015,0.733896,0.996027,0.065848,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,24,biomass,544.426,546.112,544.803,461.134,636.426,44.0339,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,24,index,0.814131,0.816652,0.814695,0.689577,0.951708,0.065848,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,25,biomass,516.576,518.262,516.953,433.284,608.576,44.0339,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,25,index,0.772485,0.775005,0.773049,0.64793,0.910061,0.065848,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,26,biomass,489.833,491.518,490.21,406.54,581.833,44.0339,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,26,index,0.732492,0.735013,0.733056,0.607938,0.870069,0.065848,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,27,biomass,463.629,465.314,464.006,380.337,555.629,44.0339,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,27,index,0.693307,0.695828,0.693871,0.568753,0.830884,0.065848,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,28,biomass,437.458,439.143,437.835,354.165,529.458,44.0339,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,28,index,0.654171,0.656692,0.654735,0.529617,0.791747,0.065848,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,29,biomass,410.828,412.514,411.205,327.536,502.828,44.0339,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,29,index,0.61435,0.61687,0.614914,0.489795,0.751926,0.065848,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,30,biomass,383.229,384.915,383.607,299.937,475.229,44.0339,1000,terminal_state_parametric_envelope_selected_inverse_delta
high_catch,30,index,0.573079,0.575599,0.573643,0.448524,0.710655,0.065848,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,21,biomass,685.285,687.641,687.547,604.474,778.744,44.408,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,21,index,1.02477,1.02829,1.02815,0.903926,1.16453,0.0664074,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,22,biomass,686.084,688.44,688.346,605.273,779.543,44.408,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,22,index,1.02597,1.02949,1.02935,0.905121,1.16572,0.0664074,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,23,biomass,686.762,689.119,689.024,605.951,780.221,44.408,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,23,index,1.02698,1.0305,1.03036,0.906135,1.16674,0.0664074,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,24,biomass,687.338,689.694,689.6,606.527,780.797,44.408,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,24,index,1.02784,1.03136,1.03122,0.906996,1.1676,0.0664074,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,25,biomass,687.827,690.183,690.088,607.015,781.286,44.408,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,25,index,1.02857,1.03209,1.03195,0.907727,1.16833,0.0664074,1000,terminal_state_parametric_envelope_selected_inverse_delta
low_catch,26,biomass,688.241,690.597,690.502,607.43,781.7,44.408,1000,terminal_state_parametric_envelope_selected_inverse_delta
