effect,mode,conditional_se,conditional_variance,note
log_B[0],6.54022,,,pending selected-inverse/random-effect covariance extraction
log_B[1],6.50108,,,pending selected-inverse/random-effect covariance extraction
log_B[2],6.48149,,,pending selected-inverse/random-effect covariance extraction
log_B[3],6.46964,,,pending selected-inverse/random-effect covariance extraction
log_B[4],6.45954,,,pending selected-inverse/random-effect covariance extraction
log_B[5],6.44833,,,pending selected-inverse/random-effect covariance extraction
log_B[6],6.44173,,,pending selected-inverse/random-effect covariance extraction
log_B[7],6.44532,,,pending selected-inverse/random-effect covariance extraction
log_B[8],6.4526,,,pending selected-inverse/random-effect covariance extraction
log_B[9],6.46253,,,pending selected-inverse/random-effect covariance extraction
log_B[10],6.4725,,,pending selected-inverse/random-effect covariance extraction
log_B[11],6.48196,,,pending selected-inverse/random-effect covariance extraction
log_B[12],6.49227,,,pending selected-inverse/random-effect covariance extraction
log_B[13],6.50375,,,pending selected-inverse/random-effect covariance extraction
log_B[14],6.51294,,,pending selected-inverse/random-effect covariance extraction
log_B[15],6.52039,,,pending selected-inverse/random-effect covariance extraction
log_B[16],6.5263,,,pending selected-inverse/random-effect covariance extraction
log_B[17],6.53083,,,pending selected-inverse/random-effect covariance extraction
log_B[18],6.53345,,,pending selected-inverse/random-effect covariance extraction
log_B[19],6.52846,,,pending selected-inverse/random-effect covariance extraction
