year,phase,catch_mt,index,biomass_hat,index_hat
1,history,92,0.912121,779,0.872573
2,history,93.0337,0.886967,779.463,0.873092
3,history,93.8557,0.866839,765.175,0.857088
4,history,94.2845,0.840975,742.788,0.832012
5,history,94.1948,0.806024,713.332,0.799017
6,history,93.5352,0.765174,679.643,0.761281
7,history,92.3355,0.724691,646.148,0.723763
8,history,90.7028,0.68997,616.692,0.690768
9,history,88.8057,0.663255,593.037,0.664273
10,history,86.8507,0.643505,574.734,0.643771
11,history,85.0526,0.627797,560.03,0.6273
12,history,83.6036,0.613382,547.237,0.612971
13,history,82.6464,0.59945,535.878,0.600247
14,history,82.2532,0.587657,527.02,0.590325
15,history,82.4159,0.58115,522.623,0.5854
16,history,83.0473,0.582705,524.292,0.58727
17,history,83.9928,0.592908,532.05,0.59596
18,history,85.0536,0.608997,543.572,0.608866
19,history,86.0139,0.624835,554.281,0.620861
20,history,86.6727,0.632674,558.683,0.625792
21,history,86.8717,0.626676,552.836,0.619242
22,history,86.5183,0.606373,536.671,0.601136
23,history,85.5987,0.577372,514.391,0.57618
24,history,84.18,0.548634,492.541,0.551705
25,history,82.4003,0.528579,477.282,0.534613
26,history,80.4494,0.522515,472.546,0.529308
27,history,78.5414,0.5318,479.346,0.536925
28,history,76.8842,0.553767,495.651,0.555188
29,history,75.6502,0.582029,516.433,0.578467
30,history,74.9512,0.60788,534.089,0.598244
