"scenario","year","biomass"
"zero_catch",0,684.344948095456
"zero_catch",1,749.410101274772
"zero_catch",2,803.210304167662
"zero_catch",3,845.407165979218
"zero_catch",4,877.053482477137
"zero_catch",5,899.950870958739
"zero_catch",6,916.071078824296
"zero_catch",7,927.194913734214
"zero_catch",8,934.762512047465
"zero_catch",9,939.860161579437
"zero_catch",10,943.270909221496
"zero_catch",11,945.542594375324
"zero_catch",12,947.051001468696
"zero_catch",13,948.050548504713
"zero_catch",14,948.712001883863
"zero_catch",15,949.14932751776
"zero_catch",16,949.43829717346
"zero_catch",17,949.629163215092
"zero_catch",18,949.755198504305
"zero_catch",19,949.838409565007
"zero_catch",20,949.893340967747
"status_quo",0,684.344948095456
"status_quo",1,714.410101274772
"status_quo",2,739.646578283809
"status_quo",3,760.330414204765
"status_quo",4,776.942970634355
"status_quo",5,790.063865839335
"status_quo",6,800.287359050289
"status_quo",7,808.16784912851
"status_quo",8,814.191241406834
"status_quo",9,818.765202034185
"status_quo",10,822.221165398327
"status_quo",11,824.822467694964
"status_quo",12,826.774827666095
"status_quo",13,828.236953993428
"status_quo",14,829.330156596976
"status_quo",15,830.146522536794
"status_quo",16,830.755598494908
"status_quo",17,831.209708397476
"status_quo",18,831.548107175109
"status_quo",19,831.800183040107
"status_quo",20,831.98790302965
"high_catch",0,684.344948095456
"high_catch",1,704.410101274772
"high_catch",2,721.324461113986
"high_catch",3,735.358933062773
"high_catch",4,746.848403411511
"high_catch",5,756.14942603392
"high_catch",6,763.609636646416
"high_catch",7,769.548607589405
"high_catch",8,774.248060263961
"high_catch",9,777.948800754074
"high_catch",10,780.851946229198
"high_catch",11,783.122535256414
"high_catch",12,784.894189057293
"high_catch",13,786.27397973108
"high_catch",14,787.347025251509
"high_catch",15,788.180577017426
"high_catch",16,788.827519018343
"high_catch",17,789.329285359721
"high_catch",18,789.718247595704
"high_catch",19,790.019641673913
"high_catch",20,790.2531075921
