year,phase,catch_mt,index,notes
1,history,92.0,1.000,synthetic
2,history,94.5,0.985,synthetic
3,history,97.0,0.972,synthetic
4,history,95.0,0.968,synthetic
5,history,99.0,0.954,synthetic
6,history,102.0,0.941,synthetic
7,history,100.5,0.936,synthetic
8,history,98.0,0.944,synthetic
9,history,96.0,0.951,synthetic
10,history,94.0,0.962,synthetic
11,history,93.0,0.971,synthetic
12,history,91.5,0.980,synthetic
13,history,90.0,0.990,synthetic
14,history,89.0,1.003,synthetic
15,history,88.0,1.012,synthetic
16,history,87.5,1.019,synthetic
17,history,87.0,1.025,synthetic
18,history,86.5,1.030,synthetic
19,history,86.0,1.036,synthetic
20,history,85.5,1.041,synthetic
21,projection,84.0,NA,synthetic_projection
22,projection,82.0,NA,synthetic_projection
23,projection,80.0,NA,synthetic_projection
24,projection,78.0,NA,synthetic_projection
25,projection,76.0,NA,synthetic_projection
26,projection,74.0,NA,synthetic_projection
27,projection,72.0,NA,synthetic_projection
28,projection,70.0,NA,synthetic_projection
29,projection,68.0,NA,synthetic_projection
30,projection,66.0,NA,synthetic_projection
